_id,recommended,rating_valuemoney,rating_overall,rating_inflightEnt,rating_cabinstaff,rating_seatcomfort,rating_foodbeverage
ObjectId(58994af99bf56223b02ab8f2),0,1,6,1,3,3,3
ObjectId(58994af99bf56223b02ab8f5),0,1,2,1,4,4,1
ObjectId(58994af99bf56223b02ab8f8),0,2,3,5,2,1,3
ObjectId(58994af99bf56223b02ab8fa),0,2,3,1,5,2,1
ObjectId(58994af99bf56223b02ab8fb),0,1,3,1,5,1,1
ObjectId(58994af99bf56223b02ab8fd),0,1,1,1,4,1,1
ObjectId(58994af99bf56223b02ab8ff),1,3,8,1,3,3,1
ObjectId(58994af99bf56223b02ab900),1,3,7,1,4,5,1
ObjectId(58994af99bf56223b02ab902),0,1,2,1,2,1,1
ObjectId(58994af99bf56223b02ab904),1,4,8,3,4,4,4
ObjectId(58994af99bf56223b02ab906),0,2,5,1,4,1,3
ObjectId(58994af99bf56223b02ab90b),1,5,9,5,5,4,5
ObjectId(58994af99bf56223b02ab90d),0,1,1,NaN,1,1,1
ObjectId(58994af99bf56223b02ab90f),1,4,8,NaN,4,3,3
ObjectId(58994af99bf56223b02ab910),1,4,7,5,5,4,4
ObjectId(58994af99bf56223b02ab912),0,1,1,0,1,2,0
ObjectId(58994af99bf56223b02ab914),1,4,10,4,5,5,5
ObjectId(58994af99bf56223b02ab915),1,5,10,5,5,4,4
ObjectId(58994af99bf56223b02ab917),0,1,1,1,2,2,1
ObjectId(58994af99bf56223b02ab918),0,1,NaN,1,1,1,1
ObjectId(58994af99bf56223b02ab91a),1,4,10,0,5,5,5
ObjectId(58994af99bf56223b02ab91c),1,4,9,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab91e),1,4,8,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab922),0,1,1,1,2,1,1
ObjectId(58994af99bf56223b02ab924),1,5,10,5,5,4,3
ObjectId(58994af99bf56223b02ab925),1,3,9,5,4,4,4
ObjectId(58994af99bf56223b02ab927),1,4,9,5,5,4,4
ObjectId(58994af99bf56223b02ab929),0,1,1,3,2,1,2
ObjectId(58994af99bf56223b02ab92b),0,2,2,NaN,2,2,0
ObjectId(58994af99bf56223b02ab92c),1,4,9,3,4,4,5
ObjectId(58994af99bf56223b02ab92e),1,5,7,1,4,3,3
ObjectId(58994af99bf56223b02ab930),0,1,1,NaN,3,1,0
ObjectId(58994af99bf56223b02ab932),0,1,1,1,1,1,1
ObjectId(58994af99bf56223b02ab934),0,2,3,1,2,1,3
ObjectId(58994af99bf56223b02ab936),0,2,2,1,3,2,3
ObjectId(58994af99bf56223b02ab939),0,2,NaN,1,3,3,4
ObjectId(58994af99bf56223b02ab93b),0,1,NaN,0,1,2,0
ObjectId(58994af99bf56223b02ab93c),0,1,NaN,1,2,1,3
ObjectId(58994af99bf56223b02ab93e),1,4,8,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab940),0,2,2,2,4,1,3
ObjectId(58994af99bf56223b02ab942),0,2,3,4,2,4,3
ObjectId(58994af99bf56223b02ab944),1,4,8,4,5,4,4
ObjectId(58994af99bf56223b02ab947),1,3,8,3,5,4,5
ObjectId(58994af99bf56223b02ab94a),0,1,1,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab9db),1,4,5,2,4,4,3
ObjectId(58994af99bf56223b02ab9dd),1,4,10,3,5,4,4
ObjectId(58994af99bf56223b02ab9e1),1,4,7,4,5,3,4
ObjectId(58994af99bf56223b02ab9e3),0,1,NaN,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab9e5),1,4,8,NaN,3,3,0
ObjectId(58994af99bf56223b02ab9e6),1,4,9,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab9e8),0,3,5,0,3,1,0
ObjectId(58994af99bf56223b02ab9ea),0,1,1,2,4,1,3
ObjectId(58994af99bf56223b02ab9ec),1,5,9,5,5,4,4
ObjectId(58994af99bf56223b02ab9ee),0,NaN,1,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab9ef),1,5,9,1,5,5,4
ObjectId(58994af99bf56223b02ab9f1),1,4,9,0,5,4,4
ObjectId(58994af99bf56223b02ab9f4),1,4,5,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab9f7),1,4,6,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab9f9),0,2,3,1,1,1,1
ObjectId(58994af99bf56223b02ab9fb),0,1,1,1,1,2,3
ObjectId(58994af99bf56223b02ab9fd),0,1,1,1,1,2,2
ObjectId(58994af99bf56223b02ab9ff),1,4,8,4,5,4,4
ObjectId(58994af99bf56223b02aba01),1,4,10,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02aba02),0,3,5,3,2,4,2
ObjectId(58994af99bf56223b02aba04),1,4,9,NaN,4,4,4
ObjectId(58994af99bf56223b02aba06),1,4,8,0,4,4,4
ObjectId(58994af99bf56223b02aba08),1,4,7,0,4,4,3
ObjectId(58994af99bf56223b02aba0a),1,4,8,0,4,4,3
ObjectId(58994af99bf56223b02aba0c),1,4,8,4,5,3,5
ObjectId(58994af99bf56223b02aba0d),1,4,8,0,4,4,3
ObjectId(58994af99bf56223b02aba0f),0,1,1,2,3,1,1
ObjectId(58994af99bf56223b02aba12),0,2,3,4,1,3,2
ObjectId(58994af99bf56223b02aba14),1,4,8,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02aba15),1,5,9,5,5,4,5
ObjectId(58994af99bf56223b02aba17),0,4,4,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02aba18),0,2,2,NaN,3,2,3
ObjectId(58994af99bf56223b02aba1a),1,5,9,5,5,5,4
ObjectId(58994af99bf56223b02aba1c),1,5,9,4,5,5,4
ObjectId(58994af99bf56223b02aba1e),1,5,10,4,5,3,4
